Fostick, Leah;Leah Fostick;Ariel University
Sreetharan, Sharmila;Sharmila Sreetharan;McMaster University
Anderson, Cameron;Cameron Anderson;McMaster University
Schlesinger, Joseph;Joseph Schlesinger;Vanderbilt University Medical Center
Gilmore, Sean A;Sean A Gilmore;Ryerson University
Pham, Phuong-Nghi;Phuong-Nghi Pham;Ryerson University
Moreno, Matthew;Matthew Moreno;University of Toronto
Woodruff, Earl;Earl Woodruff;University of Toronto
Chubb, Charlie;Charlie Chubb;University of California, Irvine
Dean, Tyler;Tyler Dean;University of California, Irvine
Mednicoff, Solena;Solena Mednicoff;University of California, Irvine
Ho, Joselyn;Joselyn Ho;University of California, Irvine
Waz, Sebastian C;Sebastian C Waz;University of California, Irvine
Douthitt, Christopher;Christopher Douthitt;Princeton University
Comishen, Kyle;Kyle Comishen;York University
Adler, Scott A;Scott A Adler;York University
Dubinsky, Ella;Ella Dubinsky;Ryerson University
Nespoli, Gabriel;Gabriel Nespoli;Ryerson University
Wood, Emily A;Emily A Wood;Ryerson University
Vuoskoski, Jonna K;Jonna K Vuoskoski;University of Oslo
Yu, Leyao;Leyao Yu;Vanderbilt University
Kasdan, Anna;Anna Kasdan;Vanderbilt University
Boorom, Olivia;Olivia Boorom;Vanderbilt University Medical Center
Gordon, Reyna;Reyna Gordon;Vanderbilt
Comstock, Daniel C;Daniel C Comstock;University of California, Merced
Balasubramaniam, Ramesh;Ramesh Balasubramaniam;University of California, Merced
Guerra, Bree K;Bree K Guerra;University of Texas at Austin
White, Christopher W;Christopher W White;University of Massachusetts Amherst
Schwitzgebel, Emily;Emily Schwitzgebel;Uni
Brown, Jenine L;Jenine L Brown;Peabody Conservatory of Music - Johns Hopkins University
Cornelius, Nathan;Nathan Cornelius;Peabody Conservatory of Music - Johns Hopkins University
Busse, Vera;Vera Busse;University of Vechta
Roden, Ingo;Ingo Roden;University of Oldenburg
Kreutz, Gunter;Gunter Kreutz;University of Oldenburg
Yoo, Hyesoo;Hyesoo Yoo;Virginia Tech 
